,amarilla,
"Wavelength","Abs",
322.000,0.005813079,
323.000,0.005487785,
324.000,0.005231695,
325.000,0.005017722,
326.000,0.004915062,
327.000,0.004587067,
328.000,0.00496912,
329.000,0.004760894,
330.000,0.004281644,
331.000,0.003898354,
332.000,0.004643032,
333.000,0.00342465,
334.000,0.003521166,
335.000,0.003937378,
336.000,0.003569764,
337.000,0.003508604,
338.000,0.003057331,
339.000,0.003651273,
340.000,0.003158485,
341.000,0.003208013,
342.000,0.002781367,
343.000,0.003125814,
344.000,0.002779591,
345.000,0.00348518,
346.000,0.002615243,
347.000,0.003102399,
348.000,0.002932753,
349.000,0.003171386,
350.000,0.002560629,
351.000,0.003038818,
352.000,0.002647835,
353.000,0.002935448,
354.000,0.002653021,
355.000,0.003151395,
356.000,0.002816027,
357.000,0.002786066,
358.000,0.002998093,
359.000,0.002638327,
360.000,0.002741875,
361.000,0.002689081,
362.000,0.003211124,
363.000,0.003034117,
364.000,0.003034875,
365.000,0.002939265,
366.000,0.003232061,
367.000,0.003504812,
368.000,0.003866316,
369.000,0.003482112,
370.000,0.003913847,
371.000,0.003773381,
372.000,0.004097821,
373.000,0.004319906,
374.000,0.004635183,
375.000,0.004648012,
376.000,0.005208949,
377.000,0.005589012,
378.000,0.005964428,
379.000,0.006210835,
380.000,0.006435941,
381.000,0.006694194,
382.000,0.007043421,
383.000,0.006729706,
384.000,0.008663559,
385.000,0.009995299,
386.000,0.01067745,
387.000,0.01143675,
388.000,0.01210908,
389.000,0.01333324,
390.000,0.01412146,
391.000,0.01529303,
392.000,0.01632442,
393.000,0.01751403,
394.000,0.01900529,
395.000,0.02049055,
396.000,0.02242925,
397.000,0.02417549,
398.000,0.0262727,
399.000,0.02823183,
400.000,0.03049946,
401.000,0.03308367,
402.000,0.03566194,
403.000,0.03864865,
404.000,0.04168316,
405.000,0.04509225,
406.000,0.048681,
407.000,0.05245248,
408.000,0.05660378,
409.000,0.06092843,
410.000,0.06578446,
411.000,0.07073527,
412.000,0.07612251,
413.000,0.0820827,
414.000,0.08832231,
415.000,0.09486004,
416.000,0.1018712,
417.000,0.1096208,
418.000,0.1179734,
419.000,0.1268875,
